scope,dimension,checkpoint,progress_q,eff_q,markets,pooled_n,future_net_atr_eq_market_mean,future_net_atr_eq_market_median,future_mfe_atr_eq_market_mean,future_mfe_atr_eq_market_median,future_mae_atr_eq_market_mean,future_mae_atr_eq_market_median,future_plus2_eq_market_mean,future_plus2_eq_market_median,future_plus4_eq_market_mean,future_plus4_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median
2015-2019,efficiency,5,,1.0,9,68,-0.41032753067704515,-0.25933955414501524,2.7772322523021576,2.3730795414585276,1.3311533560683372,1.1383552502041244,0.28217592592592594,0.3333333333333333,0.14375,0.16666666666666666,23.444444444444443,24.5
2015-2019,efficiency,5,,2.0,9,56,0.7557652201233172,0.45281093572673435,4.561226495330272,3.067194926592319,2.2856549548981745,1.7327693941534684,0.5259259259259259,0.5,0.3162037037037037,0.3333333333333333,35.17962962962963,34.5
2015-2019,efficiency,5,,3.0,9,46,0.8693412245215441,0.6078446984894852,4.189582622063254,3.480701343133436,2.8081214288193213,2.199817747618369,0.5069444444444444,0.5,0.3472222222222222,0.3333333333333333,37.06944444444444,37.0
2015-2019,efficiency,5,,4.0,9,42,0.35105853726506646,0.5948297771228967,4.305837048628024,2.829078511358611,2.4126959776280983,1.7527781746994636,0.5361111111111111,0.5,0.3740740740740741,0.3333333333333333,36.52037037037037,31.0
2015-2019,efficiency,5,,5.0,9,50,0.3955087330897165,0.6936893860298761,5.545256524568441,4.237060208174565,2.6198950599469437,2.969531481132824,0.5921367521367521,0.5,0.39560185185185183,0.375,48.51358024691358,46.5
2015-2019,joint,5,1.0,1.0,9,47,-0.22222234548881575,-0.14497981212386774,3.358424565879746,2.3730795414585276,1.5129152962455602,1.1383552502041244,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,24.555555555555557,24.5
2015-2019,joint,5,1.0,2.0,5,9,0.44148266141507656,0.44148266141507656,5.459594018427501,5.459594018427501,1.3217087963613576,1.3217087963613576,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,26.2,26.2
2015-2019,joint,5,2.0,1.0,6,10,-0.023436299320443445,0.0008105658979602077,2.762667138725149,2.228144555368404,1.4974748845649142,1.232435020454575,0.2333333333333333,0.25,0.11666666666666667,0.125,23.5,23.5
2015-2019,joint,5,2.0,2.0,9,40,0.6538561874707857,0.6672192160769437,4.5517520697025,3.067194926592319,2.554891326804654,1.7327693941534684,0.5333333333333333,0.5,0.35555555555555557,0.3333333333333333,38.166666666666664,34.5
2015-2019,joint,5,2.0,3.0,2,3,6.650481049790639,6.650481049790639,11.847238128792002,11.847238128792002,0.24914955928457974,0.24914955928457974,0.5,0.5,0.0,0.0,23.0,23.0
2015-2019,joint,5,3.0,2.0,3,3,-2.634265967956098,-2.634265967956098,2.6202117205161237,2.6202117205161237,5.506662465924756,5.506662465924756,0.3333333333333333,0.3333333333333333,0.0,0.0,29.0,29.0
