start_date,regime_id
2023-07-28,3
2023-08-08,6
2023-09-11,9
2023-09-12,6
2023-09-13,9
2023-09-14,6
2023-09-19,9
2023-09-28,6
2023-10-05,5
2023-10-13,9
2023-11-08,8
2023-11-15,7
2023-11-20,4
2023-11-21,5
2023-11-22,4
2023-11-28,7
2023-11-29,4
2023-12-11,1
2023-12-13,4
2023-12-14,1
2024-01-03,4
2024-02-16,5
2024-02-23,4
2024-02-27,5
2024-03-12,8
2024-03-13,6
2024-03-25,9
2024-03-27,6
2024-03-28,9
2024-04-04,6
2024-04-10,9
2024-04-29,6
2024-05-08,5
2024-05-10,8
2024-05-14,5
2024-05-16,8
2024-05-20,6
2024-05-21,8
2024-06-04,7
2024-07-01,8
2024-07-09,7
2024-07-15,4
2024-07-19,7
2024-07-23,4
2024-07-24,7
2024-07-26,4
2024-08-01,7
2024-09-19,4
2024-09-20,7
2024-09-27,4
2024-10-03,5
2024-10-07,6
2024-10-10,9
2024-10-11,6
2024-10-14,9
2024-10-16,8
2024-10-25,9
2024-10-28,8
2024-11-01,5
2024-11-06,2
2024-11-07,3
2024-11-08,2
2024-11-14,5
2024-11-22,2
2024-11-29,1
2024-12-04,5
2024-12-06,4
2024-12-10,5
2024-12-18,7
2025-01-08,8
2025-01-13,6
2025-01-28,5
2025-01-29,6
2025-01-30,5
2025-02-03,6
2025-02-06,8
2025-02-10,9
2025-02-26,8
2025-03-05,7
2025-03-24,4
2025-03-25,5
2025-03-28,8
2025-03-31,9
2025-04-03,8
2025-04-04,7
2025-05-12,4
2025-05-21,7
2025-05-27,4
2025-05-29,7
2025-06-02,8
2025-06-04,5
2025-06-12,8
2025-06-13,9
2025-06-24,8
2025-06-26,5
2025-07-03,6
2025-07-09,3
2025-07-30,6
2025-08-01,9
2025-08-06,8
2025-08-19,7
2025-08-21,8
2025-08-22,5
2025-08-25,8
2025-08-26,5
2025-08-29,6
2025-09-05,5
2025-09-16,6
2025-09-17,5
2025-09-24,9
2025-09-30,8
2025-10-10,7
2025-10-24,8
2025-10-27,7
2025-10-30,8
2025-11-11,9
2025-11-12,8
2025-11-20,7
2025-12-03,4
2025-12-04,5
2025-12-09,4
2025-12-10,1
2026-01-12,2
2026-01-13,3
2026-02-25,6
2026-02-26,3
2026-03-03,6
2026-03-12,9
2026-03-20,6
2026-04-13,3
2026-04-24,6
2026-04-27,3
2026-04-28,6
2026-04-30,3
2026-05-04,6
2026-05-06,3
2026-05-12,6
2026-05-19,9
2026-05-20,6
2026-05-26,3
2026-06-10,2
2026-06-16,1
2026-07-14,2
2026-07-16,1
2026-07-20,2
2026-07-23,3
2026-07-27,2
2026-08-05,1
2026-08-07,2
